name,pharmacodynamics
Alteplase,Alteplase binds to fibrin and plasminogen. Alteplase specificity for fibrin is achieved thanks to its high affinity for lysine residues. Also it can bind plasminogen via loop structures called kringles stabilized by three disulphide linkages similar to the ones in plasminogen. The specificity of alteplase for plasminogen bound to fibrin allows this drug to act in a clot- or fibrin-specific manner leading to low concentrations of circulating plasmin and a lower risk of hemorrhagic transformation.[A252270A252330] In patients with acute myocardial infarction alteplase reduces fibrinogen levels 3 to 6 hours after treatment. In patients with acute ischemic stroke patients treated with alteplase have a significantly higher resolution of hyperdense artery sign a marker of clot formation in the proximal middle cerebral artery compared to those treated with placebo.[A252330] The use of alteplase increases the risk of bleeding and thromboembolic events. Rare cases of cholesterol embolism have also been reported.[L43125]
Interferon gamma-1b,IFN gamma stimulates expression of the immunoglobulin heavy chain C gamma 3 and C gamma 2a germline transcripts in B cells. Many components of the antigen presentation pathways are also up-regulated by interferon gamma. It is also a potent activator of macrophages it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of type I interferons. Interferon gamma may also help the body regulate the activity of fibroblasts. By directly blocking the multiplication of fibroblasts and inhibiting the production and action of TGF-b a potent scar-inducing molecule Interferon gamma-1b may prevent excessive scarring.
Aldesleukin,-1
Insulin lispro,Insulin is a natural hormone produced by beta cells of the pancreas. In non-diabetic individuals a basal level of insulin is supplemented with insulin spikes following meals. Increased insulin secretion following meals is responsible for the metabolic changes that occur as the body transitions from a postabsorptive to absorptive state. Insulin promotes cellular uptake of glucose particularly in muscle and adipose tissues promotes energy storage via glycogenesis opposes catabolism of energy stores increases DNA replication and protein synthesis by stimulating amino acid uptake by liver muscle and adipose tissue and modifies the activity of numerous enzymes involved in glycogen synthesis and glycolysis. Insulin also promotes growth and is required for the actions of growth hormone (e.g. protein synthesis cell division DNA synthesis). Insulin lispro is a rapid-acting insulin analogue used to mimic postprandial insulin spikes in diabetic individuals. The onset of action of insulin lispro is 10-15 minutes. Its activity peaks 60 minutes following subcutaneous injection and its duration of action is 4-5 hours. Compared to regular human insulin insulin lispro  has a more rapid onset of action and a shorter duration of action. Insulin lispro is also shown to be equipotent to human insulin on a molar basis.  Insulin lispro has been shown to be equipotent to human insulin on a molar basis. One unit of insulin lispro has the same glucose-lowering effect as one unit of regular human insulin. Studies in normal volunteers and patients with diabetes demonstrated that insulin lispro has a more rapid onset of action and a shorter duration of activity than regular human insulin when given subcutaneously.[L47616]The pharmacodynamics of a single 20 unit dose of insulin lispro at 200 units/mL (HUMALOG U-200) administered subcutaneously were compared to the pharmacodynamics of a single 20 unit dose of insulin lispro at 100 units/mL (HUMALOG U-100) administered subcutaneously in a euglycemic clamp study enrolling healthy subjects. In this study the overall maximum and time to maximum glucose lowering effect were similar between HUMALOG U-200 and HUMALOG U-100. The mean area under the glucose infusion rate curves (measure of overall pharmacodynamic effect) were 125 g and 126 g for HUMALOG U-200 and HUMALOG U-100 respectively. The maximum glucose infusion rate was 534 mg/min and 559 mg/min and the corresponding median time (min max) to maximum effect were 2.8 h (0.5 h – 6.3 h) and 2.4 h (0.5 h – 4.7 h) for HUMALOG U-200 and HUMALOG U-100 respectively.[L47616] 
Adalimumab,After treatment with adalimumab a decrease in levels of acute phase reactant proteins of inflammation (C­ reactive protein [CRP] and erythrocyte sedimentation rate [ESR]) and serum cytokines (IL-6) was measured compared to baseline in patients diagnosed with rheumatoid arthritis. A decrease in CRP levels was also observed in patients diagnosed with Crohn’s disease. Serum levels of matrix metalloproteinases (MMP-1 and MMP-3) that lead to the tissue remodeling responsible for cartilage destruction were also found to be decreased after administration of adalimumab.[L35370] A reduction in signs and symptoms of disease the induction of clinical response inhibition of structural damage and improvements in physical function in adult and pediatric patients with various inflammatory conditions have been demonstrated.[A39983 A39999 L35370]
Agalsidase beta,Agalsidase beta is a recombinant human α-galactosidase A used as enzyme replacement therapy in the treatment of Fabry disease.[L16398] It has a long duration of action and a wide therapeutic index.[L16383] Patients should be counselled regarding the risk of infusion related reactions and hypersensitivity.[L16383]
Baclofen,-1
Amphetamine,From its mechanism of action it has been demonstrated that amphetamine augments the concentration of noradrenaline in the prefrontal cortex and dopamine in the striatum on a dose and time-dependent manner. The indistinct release of neurotransmitters which include adrenaline is known to produce cardiovascular side effects.[A174214] There are old reports of a cognitive enhancement related to the administration of amphetamine in which improvements in intelligence test scores were reported.[A174196]In ADHD amphetamine has been largely showed to produce remarkable improvements in school performance behavior and demeanor.[A18540] The effect was shown to be produced through both racemic forms and to this date the use of racemic forms 3:1 (D:L) is very common.[A174199] The therapeutic effect of amphetamine on serotonin does not seem to have a significant clinical effect on ADHD as observed on comparative studies with amphetamine and fenfluramine a powerful serotonin releasing factor. However the indirect effect on serotonin might have an effect on the depression and anxiety profile of ADHD.[A174241]Studies regarding the illicit use of amphetamine in which heavy consumers were studied proved the generation of a paranoid state which flagged this drug as a psychiatric danger compound.[L5197] This observation was supported by the continuous reports of misuse in patients under depression.[A18540]
Phentermine,It is reported that the main mechanism of action of phentermine is the generation of appetite suppression maybe due to the increase in leptin but it is considered that other mechanisms should be involved.[A174370] Some reports have indicated that the weight loss effect is mainly due to the increase in resting energy expenditure.[A174367]In clinical studies where phentermine was used as a monotherapy and as combination therapy this drug has shown an average weight loss of 3.6 kg when compared with the placebo in 2-24 weeks. Patients treated with phentermine also showed increased maintenance of the weight after treatment discontinuation.[A174367] As well even though it is a derivative of the amphetamines it has not been registered to produce any of the effects of amphetamine such as central nervous system stimulation elevation of blood pressure tachyphylaxis or QTc prolongation.[A174370]
Adapalene,Adapalene is anticomedogenic preventing the formation of new comedones and inflammatory lesions and also acts to reduce inflammation by modulating the innate immune response.[A193512] Like other retinoid compounds adapalene is chemically stable but photosensitive; use with sunscreen is recommended. Minor skin irritations including erythema scaling dryness and stinging/burning have been reported.[L12873]
Dapsone,Dapsone is a sulfone with anti-inflammatory immunosuppressive properties as well as antibacterial and antibiotic properties. Dapsone is the principal drug in a multidrug regimen recommended by the World Health Organization for the treatment of leprosy. As an anti-infective agent it is also used for treating malaria and recently for Pneumocystic carinii pneumonia in AIDS patients. Dapsone is absorbed rapidly and nearly completely from the gastrointestinal tract. Dapsone is distributed throughout total body water and is present in all tissues. However it tends to be retained in skin and muscle and especially in the liver and kidney: traces of the drug are present in these organs up to 3 weeks after therapy cessation.
Doxycycline,Doxycycline and other tetracyclines are mainly bacteriostatic and are thought to exert antimicrobial effects by the inhibition of protein synthesis. They suppress the growth of bacteria or keep them in the stationary phase of growth.[A174025] Tetracyclines have antimicrobial spectrum of activity against a variety of gram-positive and gram-negative microorganisms.[L42870] Cross-resistance of these microorganisms to tetracyclines is a common occurrence.[L42870] As it is a highly lipophilic drug doxycycline crosses multiple membranes of target molecules.[A251730] Doxycycline shows favorable intra-cellular penetration with bacteriostatic activity against a wide range of bacteria.[A174028] Doxycycline also exhibits antiparasitic properties [A372 A373 A174025] and anti-inflammatory actions.[A174031 A251730] Its anti-inflammatory effects were investigated in various inflammatory skin conditions such as bullous dermatoses [A251730] and rosacea.[A174031 A251730]
Anagrelide,Anagrelide decreases platelet counts by suppressing transcription factors necessary for the synthesis and maturation of platelet-producing cells.[L14153] The drug itself appears to have a relatively short residence time in the body necessitating twice or four times daily dosing. However given that the pharmacological effect of anagrelide therapy is reliant on a gradual suppression of platelet-producing cells it may take 7 to 14 days[L14300] for its administration to be reflected in reduced platelet counts - for this reason any changes to anagrelide doses should not exceed 0.5 mg/day in any one week.[L14153]Evidence from animal studies suggests anagrelide may impair female fertility.[L14153] Female patients of reproductive age should be advised of the potential for adverse effects on fertility prior to initiating therapy.
Theophylline,Theophylline an xanthine derivative chemically similar to caffeine and theobromine is used to treat asthma and bronchospasm. Theophylline has two distinct actions in the airways of patients with reversible (asthmatic) obstruction; smooth muscle relaxation (i.e. bronchodilation) and suppression of the response of the airways to stimuli (i.e. non-bronchodilator prophylactic effects).
Acarbose,Acarbose is a complex oligosaccharide that competitively inhibits the ability of brush-border alpha-glucosidase enzymes to break down ingested carbohydrates into absorbable monosaccharides reducing carbohydrate absorption and subsequent postprandial insulin levels.[A37868] Acarbose requires the co-administration of carbohydrates in order to exert its therapeutic effect and as such should be taken with the first bite of a meal three times daily.[L31633]Given its mechanism of action acarbose in isolation poses little risk of contributing to hypoglycemia - this risk is more pronounced however when acarbose is used in conjunction with other antidiabetic therapies (e.g. sulfonylureas insulin).[L31633] Patients maintained on acarbose in addition to other antidiabetic agents should be aware of the symptoms and risks of hypoglycemia and how to treat hypoglycemic episodes. There have been rare post-marketing reports of the development of pneumatosis cystoides intestinalis following treatment with alpha-glucosidase inhibitors - patients experiencing significant diarrhea/constipation mucus discharge and/or rectal bleeding should be investigated and if pneumatosis cystoides intestinalis is suspected should discontinue therapy.[L31628]
Acetaminophen,Animal and clinical studies have determined that acetaminophen has both antipyretic and analgesic effects. This drug has been shown to lack anti-inflammatory effects. As opposed to the _salicylate_ drug class acetaminophen does not disrupt tubular secretion of uric acid and does not affect acid-base balance if taken at the recommended doses.[F4124] Acetaminophen does not disrupt hemostasis and does not have inhibitory activities against platelet aggregation.[L4396F4124] Allergic reactions are rare occurrences following acetaminophen use.[F4124] 
