ml_name,side_effects,db_name
Chlordiazepoxide,"['drowsiness', 'dizziness', 'tiredness', 'weakness', 'dry mouth', 'diarrhea', 'upset stomach', 'changes in appetite', 'restlessness', 'excitement', 'constipation', 'difficulty urinating', 'frequent urination', 'blurred vision', 'changes in sex drive', 'changes in sex ability', 'shuffling walk', 'persistent fine tremor', 'inability to sit still', 'fever', 'difficulty breathing', 'difficulty swallowing', 'severe skin rash', 'yellowing of the skin', 'yellowing of the eyes', 'irregular heartbeat']",Chlordiazepoxide
Daridorexant,"['headache', 'fatigue', 'daytime sleepiness', 'dizziness', 'nausea', 'temporary inability to move while going to sleep', 'temporary inability to move while waking up', 'temporary inability to speak while going to sleep', 'temporary inability to speak while waking up', 'hallucinations while going to sleep', 'hallucinations while waking up', 'temporary leg weakness during the day', 'temporary leg weakness at night', 'rash', 'hives', 'swelling of the tongue', 'swelling of the throat', 'difficulty swallowing', 'difficulty breathing', 'feeling that the throat is closing']",Daridorexant
Fluoxymesterone,"['changes in sex drive', 'enlargement of the breast', 'headache', 'anxiety', 'depression', 'tingling sensations', 'prickling sensations', 'burning sensations', 'enlargement of the clitoris', 'deepening of voice', 'increase in facial hair', 'acne', 'baldness', 'abnormal menstrual periods', 'absent menstrual periods', 'erections of the penis that happen too often', 'erections of the penis that do not go away', 'rash', 'itching', 'hives', 'difficulty breathing', 'yellowing of skin', 'yellowing of eyes', 'pain in the upper right part of the stomach', 'nausea', 'vomiting', 'unusual bleeding', 'excessive bleeding', 'swelling', 'fluid retention']",Fluoxymesterone
Furosemide,"['frequent urination', 'blurred vision', 'headache', 'constipation', 'diarrhea', 'decreased urination', 'dry mouth', 'thirst', 'nausea', 'vomiting', 'weakness', 'drowsiness', 'confusion', 'muscle pain', 'muscle cramps', 'rapid heartbeats', 'pounding heartbeats', 'fever', 'ringing in the ears', 'loss of hearing', 'itching', 'rash', 'hives', 'blisters', 'peeling skin', 'difficulty breathing', 'difficulty swallowing', 'yellowing of the skin', 'yellowing of the eyes']",Furosemide
Cinacalcet,"['nausea', 'vomiting', 'diarrhea', 'dizziness', 'weakness', 'chest pain', 'burning of the lips', 'burning of the tongue', 'burning of the fingers', 'burning of the feet', 'tingling of the lips', 'tingling of the tongue', 'tingling of the fingers', 'tingling of the feet', 'unusual feelings of the lips', 'unusual feelings of the tongue', 'unusual feelings of the fingers', 'unusual feelings of the feet', 'muscle aches', 'muscle cramps', 'sudden tightening of the muscles in the hands', 'sudden tightening of the muscles in the feet', 'sudden tightening of the muscles in the face', 'sudden tightening of the muscles in the throat', 'seizures', 'bloody vomit', 'vomit that looks like coffee grounds', 'black stools', 'tarry stools', 'bloody stools']",Cinacalcet
Rosiglitazone,"['headache', 'runny nose', 'cold symptoms', 'sore throat', 'back pain', 'pain in the jaw', 'pain in the arm', 'pain in the back', 'pain in the neck', 'pain in the stomach', 'chest pain', 'breaking out in a cold sweat', 'lightheadedness', 'loss of appetite', 'nausea', 'vomiting', 'stomach pain', 'dark urine', 'yellowing of the skin', 'yellowing of the eyes', 'changes in vision', 'vision loss', 'pale skin', 'dizziness', 'swelling of the eyes', 'swelling of the face', 'swelling of the lips ', 'swelling of the tongue', 'swelling of the throat', 'hoarseness', 'difficulty swallowing', 'difficulty breathing', 'hives', 'itching', 'fever', 'blisters']",Rosiglitazone
Cabotegravir,"['headache', 'nausea', 'abnormal dreams', 'anxiety', 'difficulty falling asleep', 'difficulty staying asleep', 'rash', 'fever', 'tiredness', 'muscle aches', 'joint aches', 'blisters', 'mouth sores', 'swelling of the eyes', 'swelling of the lips ', 'swelling of the tongue', 'swelling of the mouth', 'difficulty breathing', 'yellow eyes', 'yellow skin', 'right upper abdominal pain', 'bruising', 'bleeding', 'loss of appetite', 'confusion', 'yellow urine', 'brown-colored urine', 'pale stools']",Cabotegravir
Pretomanid,"['acne', 'headache', 'heartburn', 'loss of appetite', 'weight loss', 'rash', 'itching', 'stomach pain', 'nausea', 'vomiting', 'diarrhea', 'constipation', 'dry skin', 'difficulty falling asleep', 'difficulty staying asleep', 'loss of appetite', 'nausea', 'yellow eyes', 'yellow skin', 'pain in the upper right area of the stomach', 'dark urine', 'pain in hands', 'pain in feet', 'pain in other parts of the body', 'numbness in hands', 'numbness in feet', 'numbness in other parts of the body', 'weakness in hands', 'weakness in feet', 'weakness in other parts of the body', 'problems with balance', 'vision changes', 'fast heartbeat', 'irregular heartbeat', 'feeling dizzy', 'fainting', 'pale skin', 'extreme tiredness', 'repeated nausea', 'repeated vomiting', 'fast breathing', 'confusion', 'feeling tired', 'sudden stabbing pain in the chest when breathing in', 'sudden stabbing pain in the chest when breathing out']",Pretomanid
Aficamten,[],Aficamten
Osimertinib,"['diarrhea', 'constipation', 'stomach pain', 'rash', 'itching', 'dry skin', 'cracking skin', 'eczema', 'nausea', 'vomiting', 'loss of appetite', 'swelling in the mouth', 'sores in the mouth', 'bone pain', 'muscle pain', 'joint pain', 'back pain', 'headache', 'nail swelling', 'nail redness', 'nail pain', 'nail splitting', 'nail breaking', 'nail separation from nailbed', 'nail loss from nailbed', 'tiredness', 'darkening of the skin', 'hair loss', 'fast heartbeat', 'pounding heartbeat', 'shortness of breath', 'swelling of ankles', 'swelling of feet', 'feeling lightheaded', 'feeling dizzy', 'feeling faint', 'fever', 'new shortness of breath', 'worsening shortness of breath', 'difficulty breathing', 'cough', 'rash', 'skin blisters', 'skin peeling', 'purple spots on arms', 'purple spots on lower legs', 'purple spots on buttocks', 'purple spots on trunk', 'redness on arms', 'redness on lower legs', 'redness on buttocks', 'redness on trunk', 'hives on arms', 'hives on lower legs', 'hives on buttocks', 'hives on trunk', 'chest pain', 'swollen eyes', 'red eyes', 'teary eyes', 'painful eyes', 'sensitivity to light', 'vision changes', 'new fever', 'persistent fever', 'bruising', 'bleeding', 'pale skin', 'unusual tiredness', 'unusual weakness', 'signs of an infection']",Osimertinib
